time,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
2020-05-31/12:30,0.0,0.0,45.16,45.16,-5.5,0.04,1003.0,10.19,10.65,305,0.48,3,16.093,273.9
2020-05-31/13:30,0.0,0.0,44.6,44.6,-4.69,0.05,1003.0,9.95,12.34,306,0.48,2,16.093,274.6
2020-05-31/14:30,0.0,0.0,43.57,43.57,-3.98,0.05,1003.2,9.27,13.84,310,0.47,0,16.093,275.4
2020-05-31/15:30,0.0,0.0,42.26,42.26,-3.44,0.06,1003.7,8.21,13.64,315,0.43,0,16.093,276.7
2020-05-31/16:30,0.0,0.0,40.71,40.71,-3.05,0.06,1004.3,6.8,11.79,322,0.36,0,16.093,278.5
2020-05-31/17:30,0.0,0.0,39.0,39.0,-3.05,0.07,1004.8,5.39,9.46,331,0.27,0,16.093,280.1
2020-05-31/18:30,0.0,0.0,37.41,37.41,-3.53,0.07,1005.4,4.37,7.57,340,0.18,0,16.093,280.9
2020-05-31/19:30,0.0,0.0,35.95,35.95,-4.64,0.07,1005.5,3.67,6.05,350,0.09,0,16.093,281.1
2020-05-31/20:30,0.0,0.0,34.51,34.51,-6.01,0.07,1005.3,3.13,4.74,2,0.01,0,16.093,281.0
2020-05-31/21:30,0.0087,0.01,33.07,33.07,-6.98,0.07,1005.3,2.68,3.86,12,0.02,0,16.093,281.0
2020-05-31/22:30,0.0074,0.01,31.67,31.67,-7.33,0.08,1005.0,2.35,3.43,18,0.11,0,16.093,281.1
2020-05-31/23:30,0.0,0.0,30.67,30.67,-7.34,0.08,1004.6,2.12,3.2,22,0.2,0,16.093,281.2
2020-06-01/00:30,0.0,0.0,30.05,30.05,-7.5,0.08,1004.6,1.96,2.97,28,0.2,0,16.093,281.6
2020-06-01/01:30,0.0,0.0,29.55,29.55,-7.91,0.08,1005.0,1.9,2.75,36,0.12,0,16.093,282.4
2020-06-01/02:30,0.0,0.0,29.84,29.84,-7.87,0.08,1005.4,1.9,2.63,40,0.03,0,16.093,283.1
2020-06-01/03:30,0.0,0.0,31.92,31.92,-6.91,0.08,1005.6,1.87,2.57,31,0.0,1,16.093,283.6
2020-06-01/04:30,0.0,0.0,35.75,35.75,-5.03,0.07,1005.5,1.79,2.54,8,0.0,3,16.093,283.7
2020-06-01/05:30,0.0,0.0,39.82,39.82,-3.03,0.07,1005.2,1.93,2.76,342,0.0,6,16.093,283.8
2020-06-01/06:30,0.0,0.0,42.48,42.48,-2.0,0.06,1005.1,2.6,3.52,321,0.0,9,16.093,283.9
2020-06-01/07:30,0.0,0.0,43.68,43.68,-2.2,0.06,1005.0,3.8,4.87,306,0.0,11,16.093,283.9
2020-06-01/08:30,0.0,0.0,44.31,44.31,-2.89,0.05,1004.5,5.1,6.29,296,0.0,12,16.093,283.9
2020-06-01/09:30,0.007,0.01,44.84,44.84,-3.33,0.05,1003.9,6.22,7.23,291,0.0,12,16.093,283.9
2020-06-01/10:30,0.0068,0.01,45.03,45.03,-3.84,0.05,1003.4,7.22,7.75,293,0.0,10,16.093,284.0
2020-06-01/11:30,0.0056,0.01,44.8,44.8,-4.38,0.05,1003.0,7.93,8.16,298,0.0,7,16.093,283.9
2020-06-01/12:30,0.0,0.0,44.52,44.52,-4.52,0.05,1002.7,8.02,8.9,299,0.0,4,16.093,283.6
2020-06-01/13:30,0.0,0.0,44.29,44.29,-4.5,0.05,1002.7,7.48,10.02,297,0.0,2,16.093,282.9
2020-06-01/14:30,0.0,0.0,43.58,43.58,-4.55,0.05,1002.9,6.62,10.71,297,0.0,0,16.093,282.2
2020-06-01/15:30,0.0,0.0,42.26,42.26,-4.4,0.05,1003.2,5.59,9.87,302,0.0,0,16.093,282.2
2020-06-01/16:30,0.0,0.0,40.38,40.38,-4.36,0.06,1003.7,4.42,7.45,311,0.0,0,16.093,282.7
2020-06-01/17:30,0.0,0.0,38.2,38.2,-4.74,0.06,1004.3,3.34,4.85,322,0.0,0,16.093,283.2
2020-06-01/18:30,0.0,0.0,36.31,36.31,-5.38,0.07,1004.1,2.62,3.34,339,0.0,0,16.093,282.8
2020-06-01/19:30,0.0,0.0,34.72,34.72,-6.14,0.07,1003.4,2.22,2.88,3,0.0,0,16.093,281.5
2020-06-01/20:30,0.0,0.0,33.2,33.2,-6.87,0.07,1003.2,1.94,2.67,26,0.0,0,16.093,280.2
2020-06-01/21:30,0.0,0.0,31.6,31.6,-7.21,0.08,1003.0,1.64,2.28,42,0.0,0,16.093,279.8
2020-06-01/22:30,0.0,0.0,29.89,29.89,-7.08,0.09,1003.1,1.34,1.72,50,0.0,0,16.093,280.3
2020-06-01/23:30,0.0,0.0,28.66,28.66,-6.75,0.09,1003.2,1.14,1.29,56,0.0,0,16.093,281.0
2020-06-02/00:30,0.0,0.0,28.2,28.2,-6.67,0.1,1003.4,1.14,1.23,59,0.0,0,16.093,281.1
2020-06-02/01:30,0.0,0.0,28.32,28.32,-7.08,0.09,1003.6,1.35,1.56,61,0.0,0,16.093,280.8
2020-06-02/02:30,0.0,0.0,29.32,29.32,-7.22,0.09,1003.9,1.59,1.96,59,0.0,0,16.093,280.3
2020-06-02/03:30,0.0,0.0,31.87,31.87,-6.9,0.08,1004.3,1.48,1.94,50,0.0,1,16.093,279.6
2020-06-02/04:30,0.0,0.0,36.08,36.08,-6.11,0.07,1004.4,1.01,1.5,34,0.0,3,16.093,278.6
2020-06-02/05:30,0.0,0.0,40.41,40.41,-4.54,0.06,1004.3,0.77,1.29,11,0.0,6,16.093,277.7
2020-06-02/06:30,0.0,0.0,42.77,42.77,-1.62,0.06,1004.3,1.63,2.18,67,0.0,9,16.093,276.9
2020-06-02/07:30,0.0,0.0,43.06,43.06,2.31,0.08,1004.6,3.64,4.22,149,0.0,12,16.093,276.4
2020-06-02/08:30,0.0,0.0,42.79,42.79,5.41,0.1,1004.6,5.72,6.23,215,0.0,13,16.093,275.9
2020-06-02/09:30,0.0,0.0,43.2,43.2,5.6,0.1,1004.2,6.86,7.11,255,0.0,12,16.093,275.3
2020-06-02/10:30,0.0,0.0,44.13,44.13,2.34,0.08,1003.6,7.09,7.14,264,0.0,10,16.093,274.8
2020-06-02/11:30,0.0,0.0,44.88,44.88,-1.73,0.06,1003.0,6.89,6.9,261,0.0,7,16.093,274.5
